832 830
333 332 946
411 790 -115
660 724 695
460 768 189
27 66 -822
729 268 346
201 476 -468
615 214 851
194 119 584
523 409 929
236 706 460
817 556 -813
702 476 -127
103 221 405
531 568 983
529 674 -962
27 676 -111
455 546 522
204 241 -71
360 549 -489
72 362 744
772 645 -680
631 148 -430
434 42 -309
409 44 -886
402 237 669
540 506 -722
363 671 -266
299 301 466
781 528 333
192 428 137
153 783 18
612 490 361
140 350 400
276 681 182
661 712 351
668 394 51
530 309 579
130 90 -394
727 651 -775
433 558 -345
787 462 -784
96 367 457
108 17 636
723 814 869
31 628 -43
787 358 -420
87 454 -591
302 457 -562
338 587 -49
349 178 124
354 231 -65
500 13 -375
418 755 -708
212 355 -165
592 479 -74
459 345 -656
770 258 -459
222 811 -838
205 592 -211
350 589 -924
228 583 -423
427 89 585
214 773 -728
761 103 -260
553 773 869
663 158 198
727 174 667
365 503 0
28 770 -831
360 384 89
735 779 921
70 403 -696
592 101 -544
624 222 -554
154 730 -527
358 745 52
797 425 910
799 408 -234
546 166 221
532 113 892
4 543 -399
171 721 711
704 130 607
554 638 648
453 426 -262
768 12 640
539 269 727
393 79 -775
68 831 -384
208 168 735
331 449 105
128 159 -715
471 166 -944
6 466 -967
151 59 -338
382 687 -342
26 306 932
192 615 932
266 713 977
450 422 -223
747 651 686
534 715 -780
53 305 1000
191 330 875
654 376 917
367 823 896
83 724 881
381 103 386
394 308 -429
614 701 655
747 621 -372
755 613 735
428 338 -303
220 375 969
311 7 485
409 734 132
716 521 896
526 495 117
805 135 159
193 654 -61
717 175 666
423 343 -952
687 363 -521
385 395 918
121 705 -127
265 520 853
338 398 65
50 269 947
241 320 450
510 456 182
309 307 782
702 456 -636
229 601 -12
476 511 2
200 296 425
169 549 -63
658 694 907
356 685 -57
162 398 -966
502 626 -667
640 449 865
784 528 368
421 645 -993
702 451 -843
116 114 -339
411 157 299
627 136 711
436 649 -591
385 482 -317
51 569 718
824 296 247
487 105 -588
722 216 667
340 102 837
108 770 478
305 362 394
172 138 -182
726 134 445
10 778 -768
19 51 -451
278 825 78
134 68 628
342 708 -949
483 318 929
604 471 -121
720 747 108
754 734 523
373 684 806
309 304 -971
301 789 -232
587 331 889
543 578 -503
182 320 -92
530 294 -237
327 566 266
520 381 -429
252 562 -205
555 302 -502
291 539 -111
593 178 -89
254 428 -503
759 505 -546
28 332 280
789 345 744
634 173 809
147 200 -846
752 142 644
711 714 606
829 743 273
441 674 484
793 213 238
310 358 805
783 832 -680
786 206 741
347 384 -274
436 593 -398
455 217 -317
456 780 -752
304 319 708
658 128 -179
797 609 -831
380 485 -78
156 671 483
223 215 329
789 624 -867
274 6 353
149 812 770
676 128 727
622 438 922
472 289 -512
208 521 -199
476 741 45
83 419 274
772 799 -800
507 365 898
