985 2833
673 874 402
681 382 229
226 491 644
85 229 854
181 422 216
577 501 562
178 378 5
666 106 534
795 765 263
162 140 887
617 193 454
5 611 848
74 328 243
574 228 903
152 28 840
424 795 90
655 400 864
763 957 401
964 624 708
193 870 957
632 225 841
143 228 581
425 849 754
18 93 378
582 265 893
843 154 182
561 939 365
574 159 837
34 402 59
889 560 197
981 727 302
187 817 4
315 705 30
367 295 605
85 616 816
675 830 827
712 163 881
669 282 398
148 618 950
318 850 822
676 119 94
449 145 312
597 808 118
493 801 320
933 101 357
354 520 572
899 355 97
265 832 454
101 299 759
947 613 50
601 900 622
352 300 264
493 616 288
323 884 589
105 550 250
32 572 687
513 412 650
923 282 609
312 133 654
175 346 223
534 778 423
121 873 879
419 925 347
877 487 99
869 19 282
356 442 590
303 489 528
89 317 431
222 880 822
894 396 65
562 261 796
266 899 851
674 235 730
719 660 659
125 48 719
788 47 405
757 153 249
844 945 78
772 524 160
590 730 267
258 705 676
445 42 165
601 34 367
740 961 832
149 713 870
222 501 4
875 158 479
184 195 229
338 729 284
916 617 658
980 802 45
974 917 297
505 447 479
706 121 163
316 218 28
62 846 803
753 12 848
643 579 620
182 884 73
634 140 372
298 615 394
402 847 672
69 368 785
317 952 290
174 314 396
698 727 885
850 563 223
325 144 556
85 24 888
765 48 490
603 478 372
144 866 713
26 770 548
166 214 501
41 455 607
280 655 99
109 206 907
844 397 121
368 907 605
514 558 452
55 259 149
223 804 22
198 820 298
12 54 439
213 108 725
339 335 207
312 715 637
144 336 781
259 543 821
125 154 457
689 503 763
789 220 445
713 499 197
961 669 253
793 661 657
880 888 186
625 683 472
643 907 535
950 270 880
99 695 989
978 446 281
170 869 47
141 246 643
302 308 972
753 675 208
248 354 255
834 780 987
909 244 419
534 36 626
382 74 125
258 197 299
953 198 316
118 625 593
435 139 558
830 576 853
236 150 69
191 747 606
852 583 307
311 330 880
843 371 909
943 281 704
561 481 107
457 918 484
358 631 123
507 719 335
529 949 235
553 78 499
501 37 266
602 832 935
633 317 931
213 36 87
892 439 409
52 294 453
793 36 596
883 298 175
750 700 910
923 696 529
546 28 990
556 521 658
130 745 419
886 732 605
124 216 486
853 925 962
489 306 56
129 212 553
148 463 271
92 796 508
177 297 571
311 984 597
645 240 832
591 48 928
915 695 119
856 124 444
803 507 567
338 951 829
7 345 943
522 827 642
554 880 832
427 437 439
582 924 4
572 700 503
623 833 709
482 66 416
371 87 620
359 514 697
909 344 88
853 26 713
713 559 609
263 93 626
536 809 652
851 811 379
963 189 956
744 58 392
580 237 192
816 836 749
596 583 639
530 261 419
535 911 20
252 952 741
285 324 71
334 864 964
396 122 983
572 183 461
7 11 432
845 476 606
110 159 762
206 286 465
546 577 169
532 134 767
903 48 345
784 614 881
944 503 751
289 138 278
490 148 826
466 826 266
658 717 914
238 546 945
850 138 752
891 596 828
717 978 632
243 288 290
958 753 178
905 677 772
955 42 425
406 1 66
71 616 145
374 516 68
49 957 645
562 76 31
475 338 2
608 222 545
585 441 642
552 827 136
653 973 431
741 108 566
775 522 489
658 679 412
166 380 82
307 983 208
689 634 294
310 29 693
157 247 923
156 806 504
615 693 113
37 438 187
57 709 71
316 868 135
675 209 936
346 48 291
652 122 163
60 778 760
61 338 87
817 171 141
858 894 361
181 66 881
263 556 110
130 286 820
486 347 298
758 809 154
40 49 6
28 888 327
253 798 640
549 851 420
925 470 809
656 785 544
816 538 606
264 718 75
964 190 4
752 903 407
670 566 902
459 164 992
649 812 941
58 79 295
686 559 778
593 444 722
760 736 189
965 856 670
890 433 478
878 914 355
898 32 374
324 445 581
940 158 573
759 932 745
213 705 445
878 95 104
672 532 842
731 668 281
681 504 868
938 679 198
198 102 771
515 144 821
346 320 582
858 88 236
585 783 704
633 982 665
692 104 559
256 946 281
766 979 974
526 709 10
795 805 627
206 673 461
111 720 654
820 642 341
850 953 833
547 68 810
698 927 223
134 734 537
43 619 825
905 538 193
731 513 760
888 311 439
491 720 455
425 726 194
829 917 356
759 960 390
870 704 707
47 427 892
710 655 482
637 232 546
88 198 55
912 304 524
252 664 570
339 490 64
129 632 563
321 551 435
282 276 165
692 468 86
181 479 272
464 442 908
351 20 745
841 88 394
796 196 63
656 550 46
970 212 949
88 424 997
224 682 651
663 445 104
266 624 469
878 54 274
485 146 411
457 341 215
812 943 126
745 876 575
902 411 47
83 193 601
72 622 992
382 850 811
547 908 887
933 774 905
574 557 110
469 387 783
876 155 765
557 400 103
438 820 449
503 556 697
281 332 93
132 644 539
201 973 246
907 565 556
229 196 734
213 585 69
730 725 621
152 360 306
18 563 318
325 734 186
938 274 845
42 430 790
311 876 835
389 342 294
399 254 881
871 684 618
590 334 771
194 888 579
260 431 346
77 929 947
118 206 243
246 250 488
18 98 805
645 890 228
129 618 4
338 195 137
216 951 484
106 188 768
857 86 340
402 570 948
611 344 70
106 357 568
883 778 204
735 603 668
512 336 216
410 114 81
254 602 638
828 598 430
26 794 46
23 186 510
533 309 188
415 674 388
312 228 266
357 134 784
728 239 503
37 912 182
958 354 771
382 840 328
259 950 537
883 216 111
342 586 181
430 473 770
767 914 969
188 372 849
40 184 460
40 619 879
138 713 691
18 807 444
168 578 266
655 823 936
17 467 639
706 526 500
88 264 702
166 784 345
427 29 22
121 375 173
335 872 968
157 811 835
372 463 356
503 675 670
252 12 711
657 278 163
361 464 639
474 78 293
330 345 201
357 719 137
29 817 8
77 658 96
278 179 242
74 383 535
456 856 764
413 116 959
642 489 923
854 333 875
517 731 236
17 482 142
793 954 277
795 370 350
959 83 215
104 611 690
482 503 623
414 255 48
942 548 12
874 454 869
31 520 252
87 392 496
